id,name,lat,lon
272,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAMETÁ/PA,-2.239653,-49.499827
275,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE C. DO ARAGUAIA/PA,-8.303610,-49.282770
288,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GURUPI/TO,-11.745782,-49.049703
297,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SANTA FE DO ARAGUAIA/TO,-7.124191,-48.781267
287,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PEIXE/TO,-12.015377,-48.544517
285,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PALMAS/TO,-10.190744,-48.301811
315,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE UBERLÂNDIA/MG,-18.917072,-48.255657
290,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARAGUAÍNA/TO,-7.103954,-48.201231
289,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PEDRO AFONSO/TO,-8.968677,-48.177259
296,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARAGUATINS/TO,-5.643725,-48.111839
286,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PARANÃ/TO,-12.614893,-47.871917
262,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SALINÓPOLIS/PA,-0.618884,-47.356596
298,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RIO SONO/TO,-9.793363,-47.132732
278,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAPITAO POÇO/PA,-1.734766,-47.057500
313,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARAXÁ/MG,-19.605696,-46.949617
263,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BRAGANÇA/PA,-1.047258,-46.785790
295,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CAMPOS LINDOS/TO,-8.154665,-46.639323
324,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PASSOS/MG,-20.745237,-46.633916
293,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MATEIROS/TO,-10.434441,-45.921941
323,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VARGINHA/MG,-21.566513,-45.404300
322,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE S.J.DEL REI/MG,-21.106502,-44.250928
314,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MONTES CLAROS/MG,-16.686316,-43.843763
321,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE OURO BRANCO/MG,-20.556592,-43.756220
326,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE JUÍZ DE FORA/MG,-21.769965,-43.364329
318,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VIÇOSA/MG,-20.762607,-42.864013
319,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE TIMÓTEO/MG,-19.573824,-42.622413
308,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALEGRE/ES,-20.750412,-41.488852
311,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AFONSO CLAUDIO/ES,-20.104194,-41.106861
309,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PRES. KENNEDY/ES,-21.100805,-41.039395
316,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ALMENARA/MG,-16.166773,-40.687756
304,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SANTA TERESA/ES,-19.988388,-40.579572
310,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE NOVA VENECIA/ES,-18.695265,-40.390572
303,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE VITÓRIA/ES,-20.271094,-40.306069
307,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO MATEUS/ES,-18.676198,-39.864051
333,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SACRAMENTO/MG,-19.875271,-47.434102
354,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE GUARDA-MOR/MG,-17.561349,-47.199251
