Nome,Latitude,Longitude,Altitude
Areia-A310,-6.975451,-35.718128,573 
Cabaceiras-A348,-7.483206,-36.286469,392 
Camaratuba-A352,-6.561813,-35.135316,136 
Campina Grande-A313,-7.225574,-35.904831,546 
Itaporanga-A373,-7.318459,-38.140843,292 
João Pessoa-A320,-7.165409,-34.815627,34 
Monteiro-A334,-7.894465,-37.124704,606 
Patos-A321,-7.079836,-37.272817,264 
São Gonçalo-A333,-6.835777,-38.311583,237 
Arco Verde-A309,-8.433544,-37.055477,684 
Cabrobó-A329,-8.504000,-39.315280,343 
Caruaru-A341,-8.236069,-35.985550,570 
Floresta-A351,-8.598785,-38.584062,327 
Garanhuns-A322,-8.910950,-36.493381,828 
Ibimirim-A349,-8.509552,-37.711591,434 
Ouricuri-A366,-7.885833,-40.102683,458 
Palmares-A357,-8.666667,-35.567921,164 
Petrolina-A307,-9.388323,-40.523262,373 
Recife-A301,-8.059280,-34.959239,11 
Salgueiro-A370,-8.0580556,-39.096111,447 
Serra Talhada-A350,-7.954277,-38.295082,499 
Surubim-A328,-7.839628,-35.801056,421 
Alvorada do Gurguéia-A336,-8.441598,-43.865443,261 
Bom Jesus do Piauí-A326,-9.083251,-44.326470,296 
Canto do Buriti-A365,-8.117939,-42.975721,312 
Caracol-A337,-9.285880,-43.324438,515 
Castelo do Piauí-A361,-5.349228,-41.512274,269 
Esperantina-A338,-3.899365,-42.259483,88 
Floriano-A311,-6.761438,-43.003396,126 
Gilbués-A364,-9.875196,-45.345805,425 
Oeiras-A354,-6.974135,-42.146831,154 
Parnaíba-A308,-3.086656,-41.783139,52 
Paulistana-A330,-8.132288,-41.142945,376 
Picos-A343,-7.071016,-41.404042,233 
Piripiri-A335,-4.276047,-41.794568,158 
São João do Piauí-A331,-8.364977,-42.250369,237 
São Pedro do Piaui-A362,-5.911033,-42.718729,296 
São Raimundo Nonato-A345,-9.033211,-42.701112,383 
Teresina-A312,-5.034769,-42.801341,75 
Uruçui-A346,-7.441420,-44.345055,399 
Valença do Piauí-A363,-6.399274,-41.739953,313 
Campina da Lagoa-B803,-24.570861,-52.800256,598 
Castro-A819,-24.786954,-49.999266,994 
Cidade Gaúcha-A869,-23.359156,-52.931912,366 
Clevelândia-A876,-26.417200,-52.348741,966 
Colombo-B806,-25.322464,-49.157733,950 
Curitiba-A807,-25.448688,-49.230602,923 
Diamante do Norte-A849,-22.639366,-52.890156,368 
Dois Vizinhos-A843,-25.699063,-53.095273,546 
Foz do Iguaçu-A846,-25.601834,-54.483065,235 
General Carneiro-A875,-26.398473,-51.353670,1.009 
Icaraíma-A824,-23.390380,-53.635933,381 
Ilha do Mel-A847,-25.494522,-48.326041,4 
Inácio Martins-A823,-25.567879,-51.077946,1.209 
Ivaí-A818,-25.010757,-50.853853,804 
Japira-A871,-23.773341,-50.180570,693 
Joaquim Távora-A821,-23.505266,-49.946387,513 
Laranjeiras do Sul-B804,-25.368944,-52.391944,835 
Marechal Cândido Rondon-A820,-24.533303,-54.019248,392 
Maringá-A835,-23.405357,-51.932828,549 
Morretes-A873,-25.508935,-48.808681,50 
Nova Fátima-A842,-23.415284,-50.577744,664 
Nova Tebas-A822,-24.437346,-51.963020,656 
Paranapoema-A850,-22.658273,-52.134526,309 
Planalto-A855,-25.721863,-53.747920,399 
São Mateus do Sul-A874,-25.835604,-50.368994,780 
Ventania-A872,-24.280394,-50.210150,1.093 
Angra dos Reis-A628,-22.975694,-44.303444,6 
Arraial do Cabo-A606,-22.975468,-42.021450,3 
Cambuci-A604,-21.587729,-41.958327,60 
Campos dos Goytacazes-A607,-21.714767,-41.344017,17 
